Date,Power_kW
18-01-2019 20:00,142.911
18-01-2019 21:00,117.48
18-01-2019 22:00,109.641
18-01-2019 23:00,105.363
19-01-2019 00:00,106.896
19-01-2019 01:00,102.281
19-01-2019 02:00,102.128
19-01-2019 03:00,103.738
19-01-2019 04:00,99.617
19-01-2019 05:00,103.055
19-01-2019 06:00,99.943
19-01-2019 07:00,110.523
19-01-2019 08:00,118.979
19-01-2019 09:00,118.4
19-01-2019 10:00,117.496
19-01-2019 11:00,127.516
19-01-2019 12:00,120.666
19-01-2019 13:00,119.462
19-01-2019 14:00,122.667
19-01-2019 15:00,123.043
19-01-2019 16:00,123.702
19-01-2019 17:00,121.935
19-01-2019 18:00,121.187
19-01-2019 19:00,115.851
19-01-2019 20:00,114.567
19-01-2019 21:00,105.612
19-01-2019 22:00,102.212
19-01-2019 23:00,101.173
20-01-2019 00:00,98.475
20-01-2019 01:00,100.307
20-01-2019 02:00,97.647
20-01-2019 03:00,96.439
20-01-2019 04:00,99.582
20-01-2019 05:00,98.306
20-01-2019 06:00,99.249
20-01-2019 07:00,98.774
20-01-2019 08:00,104.93
20-01-2019 09:00,100.514
20-01-2019 10:00,103.27
20-01-2019 11:00,108.403
20-01-2019 12:00,110.688
20-01-2019 13:00,108.276
20-01-2019 14:00,107.13
20-01-2019 15:00,107.962
20-01-2019 16:00,103.627
20-01-2019 17:00,104.083
20-01-2019 18:00,103.876
20-01-2019 19:00,108.825
20-01-2019 20:00,104.09
20-01-2019 21:00,100.522
20-01-2019 22:00,103.523
20-01-2019 23:00,105.191
21-01-2019 00:00,99.985
21-01-2019 01:00,99.437
21-01-2019 02:00,102.963
21-01-2019 03:00,100.131
21-01-2019 04:00,99.425
21-01-2019 05:00,103.151
21-01-2019 06:00,104.685
21-01-2019 07:00,149.454
21-01-2019 08:00,189.049
21-01-2019 09:00,239.108
21-01-2019 10:00,264.473
21-01-2019 11:00,340.772
21-01-2019 12:00,297.724
21-01-2019 13:00,297.616
21-01-2019 14:00,301.143
21-01-2019 15:00,304.29
21-01-2019 16:00,282.383
21-01-2019 17:00,274.919
21-01-2019 18:00,224.423
21-01-2019 19:00,181.313
21-01-2019 20:00,150.324
21-01-2019 21:00,122.816
21-01-2019 22:00,108.629
21-01-2019 23:00,105.984
22-01-2019 00:00,109.741
22-01-2019 01:00,105.099
22-01-2019 02:00,107.678
22-01-2019 03:00,101.618
22-01-2019 04:00,105.114
22-01-2019 05:00,103.611
22-01-2019 06:00,108.863
22-01-2019 07:00,158.692
22-01-2019 08:00,205.697
22-01-2019 09:00,237.092
22-01-2019 10:00,273.217
22-01-2019 11:00,336.969
22-01-2019 12:00,290.801
22-01-2019 13:00,319.961
22-01-2019 14:00,302.619
22-01-2019 15:00,313.279
22-01-2019 16:00,285.557
22-01-2019 17:00,283.333
22-01-2019 18:00,225.734
22-01-2019 19:00,178.327
22-01-2019 20:00,150.044
22-01-2019 21:00,122.257
22-01-2019 22:00,115.479
22-01-2019 23:00,114.854
23-01-2019 00:00,114.191
23-01-2019 01:00,109.626
23-01-2019 02:00,110.573
23-01-2019 03:00,106.13
23-01-2019 04:00,104.999
23-01-2019 05:00,106.555
23-01-2019 06:00,109.411
23-01-2019 07:00,158.8
23-01-2019 08:00,197.39
23-01-2019 09:00,230.414
23-01-2019 10:00,266.593
23-01-2019 11:00,353.008
23-01-2019 12:00,299.878
23-01-2019 13:00,306.119
23-01-2019 14:00,306.061
23-01-2019 15:00,283.855
23-01-2019 16:00,262.652
23-01-2019 17:00,259.766
23-01-2019 18:00,234.623
23-01-2019 19:00,193.196
23-01-2019 20:00,156.147
23-01-2019 21:00,129.44
23-01-2019 22:00,118.067
23-01-2019 23:00,117.519
24-01-2019 00:00,113.685
24-01-2019 01:00,116.794
24-01-2019 02:00,113.505
24-01-2019 03:00,111.301
24-01-2019 04:00,107.437
24-01-2019 05:00,106.279
24-01-2019 06:00,110.699
24-01-2019 07:00,159.022
24-01-2019 08:00,193.683
24-01-2019 09:00,226.838
24-01-2019 10:00,259.118
24-01-2019 11:00,331.806
24-01-2019 12:00,289.467
24-01-2019 13:00,269.744
24-01-2019 14:00,298.578
24-01-2019 15:00,282.67
24-01-2019 16:00,259.406
24-01-2019 17:00,253.985
24-01-2019 18:00,218.059
24-01-2019 19:00,179.005
24-01-2019 20:00,150.796
24-01-2019 21:00,121.662
24-01-2019 22:00,115.932
24-01-2019 23:00,108.276
25-01-2019 00:00,109.38
25-01-2019 01:00,102.492
25-01-2019 02:00,103.895
25-01-2019 03:00,107.713
25-01-2019 04:00,104.895
25-01-2019 05:00,106.214
25-01-2019 06:00,114.149
25-01-2019 07:00,152.977
25-01-2019 08:00,192.859
25-01-2019 09:00,212.788
25-01-2019 10:00,244.095
25-01-2019 11:00,317.573
25-01-2019 12:00,286.17
25-01-2019 13:00,248.047
25-01-2019 14:00,285.683
25-01-2019 15:00,271.017
25-01-2019 16:00,258.877
25-01-2019 17:00,230.061
25-01-2019 18:00,210.473
25-01-2019 19:00,153.855
25-01-2019 20:00,127.88
25-01-2019 21:00,116.56
25-01-2019 22:00,102.921
25-01-2019 23:00,105.582
26-01-2019 00:00,103.404
26-01-2019 01:00,102.388
26-01-2019 02:00,104.47
26-01-2019 03:00,101.269
26-01-2019 04:00,98.965
26-01-2019 05:00,100.84
26-01-2019 06:00,98.417
26-01-2019 07:00,112.267
26-01-2019 08:00,112.861
26-01-2019 09:00,113.831
26-01-2019 10:00,114.429
26-01-2019 11:00,111.125
26-01-2019 12:00,110.956
26-01-2019 13:00,117.342
26-01-2019 14:00,115.211
26-01-2019 15:00,122.249
26-01-2019 16:00,119.175
26-01-2019 17:00,120.562
26-01-2019 18:00,120.535
26-01-2019 19:00,114.149
26-01-2019 20:00,114.287
26-01-2019 21:00,105.796
26-01-2019 22:00,100.249
26-01-2019 23:00,98.44
27-01-2019 00:00,104.416
27-01-2019 01:00,100.529
27-01-2019 02:00,97.666
27-01-2019 03:00,98.712
27-01-2019 04:00,101.154
27-01-2019 05:00,97.815
27-01-2019 06:00,97.708
27-01-2019 07:00,100.111
27-01-2019 08:00,96.922
27-01-2019 09:00,101.058
27-01-2019 10:00,103.347
27-01-2019 11:00,103.665
27-01-2019 12:00,101.361
27-01-2019 13:00,101.514
27-01-2019 14:00,107.847
27-01-2019 15:00,104.846
27-01-2019 16:00,105.892
27-01-2019 17:00,109.837
27-01-2019 18:00,110.04
27-01-2019 19:00,105.022
27-01-2019 20:00,105.102
27-01-2019 21:00,105.313
27-01-2019 22:00,100.671
27-01-2019 23:00,100.062
28-01-2019 00:00,100.445
28-01-2019 01:00,98.172
28-01-2019 02:00,97.01
28-01-2019 03:00,99.28
28-01-2019 04:00,105.11
28-01-2019 05:00,98.095
28-01-2019 06:00,101.959
28-01-2019 07:00,154.978
28-01-2019 08:00,202.335
28-01-2019 09:00,232.193
28-01-2019 10:00,275.283
